epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
1,0.19846458306098338,0.17893171711418276,0.05441682865352245,0.11857321557299055,0.4643095201256315,0.02554002028544585,0.0952999559686643,0.28735333395889817,0.22219907694495078,148.1911122277379,0.11872404081933212,0.10709416573283491,0.0372023998767578,0.04658555545705842,0.35888316825735406,0.05021072062290779,0.14882535579802633,0.3900629963364773,0.16130698907297186,23.027825564146042,0.001,5640,1,0.35888316825735406,0
2,0.11017794540337705,0.09877044639700089,0.03311624305584434,0.06256877204773521,0.3380886991083485,0.05152167482166509,0.17256982708425994,0.4316989110707752,0.14519067088902968,107.36349220573902,0.10473728227163041,0.09441155651192017,0.03400362741573747,0.036496395445985486,0.33574189852198094,0.06456358309488909,0.18556231768739948,0.43307298832519486,0.1541553653296959,11.175845712423325,0.001,5640,2,0.33574189852198094,0
3,0.08924877063455952,0.07935529965830745,0.028825056894392947,0.05374413292758572,0.30733949509026165,0.06514940282114372,0.2056902525127998,0.4739914489424798,0.13418328049685885,91.10403949767351,0.08850796483201348,0.07901908129654565,0.030092403054079776,0.03931563421189914,0.31140530790090637,0.07010328454731037,0.20487175507882108,0.4646060017805402,0.14401062435347087,7.762779273092747,0.001,5640,3,0.31140530790090637,0
4,0.07040773519452392,0.061808578584008726,0.02440254506159519,0.04997040212254039,0.2755759362270902,0.07993904223423116,0.24099248900587392,0.5182382538635254,0.12329727458570605,84.87512119859457,0.07582335578430575,0.06741488157202505,0.026956504576930686,0.0333869320370579,0.2881069657469925,0.08327664008536995,0.23246424284706207,0.5007465846117267,0.12924860841036212,9.654571115970612,0.001,5640,4,0.2881069657469925,0
5,0.0570414672864878,0.049551063357146215,0.02102063134749275,0.04470492458917575,0.24763368837436742,0.09681582159017785,0.2795373204804152,0.5675350840316539,0.11335929612855981,98.18314938247204,0.06812439350703554,0.060286971826650736,0.025146469160498786,0.03101608343019218,0.27080969532092447,0.09978530549881033,0.2675710979537373,0.5360566456269684,0.11795972429809871,8.101266384124756,0.001,5640,5,0.27080969532092447,0
6,0.048110339967496495,0.04142342165407408,0.018732088661451457,0.04007792228526566,0.22633254680147788,0.11279911171953137,0.3146937813455481,0.6114107374362618,0.10587437219197662,78.95045325160027,0.062307463999063735,0.0549804023330206,0.023685925800003775,0.02811160700796479,0.25698660366337156,0.11408073733737513,0.2899242837074862,0.5592668680845677,0.11341147366131278,9.402704276144505,0.001,5640,6,0.25698660366337156,0
7,0.04214855773437309,0.03603658185828492,0.017237603952198793,0.03605148618322334,0.211495718826286,0.12628267638647553,0.3424618771822129,0.6418630617341757,0.10066142470913074,94.94019078463316,0.05780649950168071,0.05086327178684935,0.022699660364402727,0.02536623930546236,0.24417484382418475,0.13063799315469443,0.3240725210520441,0.5910163120691435,0.10929084250161905,9.974287554621696,0.001,5640,7,0.24417484382418475,0
8,0.03786215348876442,0.03216695328786822,0.01617298524927426,0.03303909395820088,0.20020587914293606,0.1379921728764713,0.36586257973051683,0.6666785012630164,0.09687629917899192,91.09719357639551,0.05609793742355223,0.049248771292135986,0.022362852949579747,0.02516906220958718,0.23908558819295303,0.1395262540219865,0.3408771580126284,0.605828620052432,0.10444498455375516,16.6926254555583,0.001,5640,8,0.23908558819295303,0
9,0.0344739485456129,0.029112786796184856,0.015310867909177257,0.03066888320936054,0.19093971100191143,0.15043270525302735,0.3880050799207915,0.6872615696567175,0.09363440162620522,78.93906955420971,0.054104689274362704,0.04752865467584342,0.0218176899686464,0.022432244249341166,0.2334510922787679,0.14552538676583796,0.34896142178891476,0.6136875552446621,0.10601476911860662,8.096596919000149,0.001,5640,9,0.2334510922787679,0
10,0.031764220886696996,0.02667171014625601,0.014611885730323779,0.028790780969089,0.1829581304810297,0.16185172359294098,0.4081206953704376,0.7064325808078262,0.09087229205812129,95.008968770504,0.053592494490613846,0.04704474963626088,0.021649465055527888,0.022707595765992482,0.23193688282583086,0.15248756897888907,0.35605170490812654,0.6153574233904745,0.10437201301535749,13.035496473312378,0.001,5640,10,0.23193688282583086,0
11,0.029715255095744755,0.024822148950131268,0.0140622906495172,0.027550667579297205,0.17711398892781646,0.17072529086221072,0.42242835603691753,0.719661168208378,0.08886000515545418,112.2607287466526,0.051387659828434615,0.045088758476378485,0.021012812151991595,0.020913976937950825,0.22703319782449596,0.15648110041138974,0.36117173493833754,0.6243119632735515,0.10459358496175006,9.550759345293045,0.001,5640,11,0.22703319782449596,0
